paper_id,标题,总结,分类,是否核心相关,相关性理由,载体设计_聚合物名称,载体设计_载体形态,载体设计_响应机制,负载物信息_名称,负载物信息_类型,负载物信息_形态状态,微生物指标_包埋效率,微生物指标_保护性能,微生物指标_释放后活性,微生物指标_泄露控制,释放特性_触发条件,释放特性_释放动力学
3687b131-bd92-4d2c-a15f-288c9a3030e1,"Student award winner in the Ph.D. category for the 2013 society for biomaterials annual meeting and exposition, april 1013, 2013, Boston, Massachusetts",本研究旨在开发一种基于合成聚(β-氨基酯)（PBAEs）的非病毒基因递送系统，实现对肝癌细胞的特异性DNA递送。采用21种优化的PBAE-DNA纳米颗粒，分别在Buffalo rat hepatoma（MCA-RH7777）和正常肝细胞（BRL-3A）中递送eGFP和luciferase基因。结果显示，PBAE纳米颗粒在肝癌细胞中转染效率达（98 ± 0.4）%，无明显细胞毒性；在肝细胞中转染效率达（73 ± 0.4）%，仅（10 ± 4）%非特异性毒性。相较之下，阳性对照（branched PEI、Lipofectamine™ 2000、X-tremeGENE™ DNA HP）在BRL-3A中引起30–90%毒性。21种PBAE中12种在单培养中表现出显著肝癌细胞特异性（p < 0.05）。最优PBAE在共培养体系中使肝癌细胞转染率比肝细胞高1.9–5.8倍，eGFP表达强度高530 ± 60倍。一优选配方实现肝癌细胞95 ± 0.2%转染、肝细胞27 ± 0.2%转染，肝细胞相对存活率96 ± 9%。PBAE纳米颗粒可高效、特异性递送DNA至肝癌细胞，同时保护正常肝细胞，为肝癌靶向基因治疗提供可行策略。,"Drug Delivery, Synthetic Polymers, Polyamino Acids",FALSE,该研究使用合成聚(beta-氨基酯)（PBAEs）形成纳米颗粒用于非病毒基因递送，但未涉及聚合物的环境响应性设计或可控释放机制；其核心在于基因转染效率与癌细胞特异性，而非聚合物载体的刺激响应或控释行为，且负载物为DNA而非活性微生物。,Poly(beta-amino ester)s (PBAEs),Nanoparticles,,eGFP and luciferase DNA,Drug,,,,,,,
36ce15d7-0027-4db5-b3c2-3ef28db6d657,A poly(vinyl alcohol) nanoparticle platform for kinetic studies of inhaled particles,本研究旨在开发一种物理稳定、可追踪的纳米颗粒（NP）平台，用于研究吸入颗粒在肺部的转运动力学。通过共价键将5(6)-carboxyfluorescein（CF）偶联至40%水解度的聚乙烯醇（PVA），形成PVA-CF酯，实现荧光标记。经纯化后制备PVA纳米颗粒，在生物介质中保持约220 nm粒径，24小时内表面电荷保持中性，且在体外对呼吸细胞无急性毒性。与商业乳胶颗粒在细胞培养基及Hank's平衡盐溶液（HBSS）中迅速聚集不同，PVA NP表现出优异的稳定性。该平台结合Calu-3人支气管上皮细胞模型，可用于研究NP在肺部的分布、细胞结合、内化、胞内转运及跨上皮屏障能力，为评估纳米颗粒毒理学影响提供可靠工具。,"Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该研究聚焦于开发一种用于追踪吸入纳米颗粒在肺部分布的聚乙烯醇（PVA）纳米颗粒平台，其核心目标是物理稳定性与可追踪性，而非聚合物的刺激响应性或可控释放设计。负载物为荧光标记物（CF），并非药物或活性微生物，且未涉及环境响应或控释行为，因此不符合【Polymer for Delivery】的核心特征。,Poly(vinyl alcohol) (PVA),Nanoparticle,null,5(6)-carboxyfluorescein (CF),Drug,null,null,null,null,null,null,null
36b109a4-9537-4379-ba2b-7b1b82e615d5,Encapsulation of enzymes within polymer spheres to create optical nanosensors for oxidative stress,"本研究旨在开发基于聚乙二醇（PEG）水凝胶微球的光学纳米传感器，用于检测细胞内氧化应激产生的过氧化氢（H₂O₂）。通过反相乳液光聚合法将辣根过氧化物酶（HRP）封装于尺寸为250–350 nm的PEG水凝胶微球中，保持HRP酶活性。利用Amplex Red荧光检测法，验证了微球对H₂O₂的敏感性。将HRP负载的微球与小鼠巨噬细胞共培养，并在培养基中加入Amplex Red。经吞噬后，通过calcein AM染色评估其生物相容性。在外源性H₂O₂（100 μM）或脂多糖（LPS, 1 μg/mL）诱导的氧化应激下，微球内HRP催化Amplex Red生成荧光产物，实现对细胞内局部H₂O₂的实时检测。结果表明，封装后的HRP仍具活性，该纳米传感器可有效感知细胞内氧化应激，为ROS的原位检测提供新策略。","Drug Delivery, Synthetic Polymers, Polyethylene Glycol",FALSE,该研究聚焦于将辣根过氧化物酶（HRP）封装在聚乙二醇（PEG）水凝胶纳米球中，用于构建光学纳米传感器以检测细胞内过氧化氢。虽然涉及聚合物载体（PEG水凝胶球）和可控释放（通过吞噬作用进入细胞后激活），但负载物为非活性酶（HRP），且研究重点在于酶的活性保持与光学信号响应，而非环境响应性释放或递送控制。聚合物设计未体现对pH、酶或ROS等刺激的响应性释放行为，也未涉及微生物的保护或活性维持，因此不符合【Polymer for Delivery】的核心特征。,Poly(ethylene glycol) (PEG),Hydrogel sphere,,Horseradish peroxidase (HRP),Drug,,,,,,"Phagocytosis by macrophages, followed by intracellular activation by endogenous H₂O₂",Sustained release (enzyme activity maintained post-encapsulation and activated upon intracellular oxidative stress)
363af790-071a-4ad6-a63f-d1e73ff1c010,"Investigation of parameters influencing incorporation, retention and cellular cytotoxicity in liposomal formulations of poorly soluble camptothecin","本研究旨在探究影响脂质体对疏水性抗癌药喜树碱（Camptothecin, CPT）包封、保留及细胞毒性的关键参数。采用蛋黄磷脂酰胆碱（EPC）为基础脂质，系统替换不同摩尔比例的脂质，考察脂质组成、头尾基团结构、不饱和度、表面电荷（zeta电位）、各向异性及聚乙二醇（PEG）修饰的影响。结果表明，CPT包封受表面电荷、头基类型及碳链不饱和度共同调控；保留能力高度依赖于脂质环境与zeta电位；PEG修饰可抑制脂质体融合，提升稳定性并改善保留，但降低CPT包封率。体外实验显示，所有脂质体均显著增强CPT细胞毒性，阳离子脂质体对癌细胞（HT-29）毒性显著高于正常细胞（MRC5）。进一步通过抗体介导靶向，使特定脂质体对靶向癌细胞选择性增强，1小时暴露后正常细胞仍保持完全存活。研究揭示了优化CPT脂质体载体的关键参数，为提升其靶向性与疗效提供依据。","Drug Delivery, Synthetic Polymers, Polyethylene Glycol",FALSE,该研究聚焦于脂质体作为化学药物载体的配方优化，但未涉及聚合物的刺激响应性设计、可控释放机制或环境响应行为；其核心是脂质组成、电荷和PEG修饰对药物包封与保留的影响，属于传统脂质体药物递送研究，不满足聚合物载体在环境响应或可控释放方面的核心特征。,Polyethylene glycol (PEG),Liposome,,Camptothecin (CPT),Drug,,,,,,,
36158edb-a617-4d52-a6c6-51b8282d4ce4,Cyclodextrins in drug delivery: An updated review,"本综述系统阐述了环糊精（Cyclodextrins, CDs）及其衍生物在药物递送中的应用，重点涵盖蛋白/多肽药物与基因递送，以及脂质体、微球、微囊和纳米粒等新型递送系统的设计。CDs凭借其疏水内腔与亲水外层，可形成非共价包合物，显著提升药物溶解度、生物利用度、稳定性和安全性。研究对比了α-CD（6葡萄糖单元）、β-CD（7）、γ-CD（8）及δ-CD（9）的腔体尺寸与溶剂化能力，指出β-CD虽应用广泛但因水溶性差与肾毒性限制其注射给药，而化学修饰衍生物如HP-β-CD（羟丙基-β-CD）和SBE-β-CD（磺丁基-β-CD）可改善溶解性、稳定性并降低毒性。通过相溶解度法（Higuchi-Connors法）评估包合物形成，A型曲线（AL、AP、AN）表示可溶性包合物，B型曲线（BS、BI）则对应低溶或不溶性复合物。文章还讨论了CD选择的关键因素：商业可得性、法规地位与专利状况，强调CDs在解决新型药物多途径递送难题中的持续潜力。","Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该论文为综述性文章，主要讨论环糊精及其衍生物在药物递送中的应用，重点在于其作为辅料提升药物溶解度、生物利用度和稳定性，未涉及具有刺激响应性或可控释放设计的聚合物载体（如微胶囊、水凝胶、核壳结构等）。负载物为化学药物或生物大分子，但未构建结构化聚合物递送系统，也未体现环境响应或控释行为，因此不符合【Polymer for Delivery】的核心特征。,,,,,,,,,,,,
358ea4db-4af1-4634-b0e3-e1ebfca5b26d,The generic enhancement of photochromic dye switching speeds in a rigid polymer matrix,本研究旨在提升光致变色染料在刚性聚合物基质（如眼科镜片）中的开关速度。通过将低玻璃化转变温度（$T_g$）的柔性寡聚物（如聚二甲基硅氧烷，PDMS）共价连接至光致变色染料（螺吡喃、香豆素及偶氮染料），构建光致变色-寡聚物共轭物。该策略通过寡聚物的自发卷曲形成局部低粘度微环境，保护染料免受高$T_g$、高粘度基质的阻碍，显著增强分子旋转自由度。实验表明，在$T_g=120^\circ\mathrm{C}$的刚性基质中，染料的热褪色半衰期$T_{1/2}$和$T_{3/4}$分别缩短40%和60–99%，且不改变染料的电子性质。该方法为光致变色材料在眼科镜片、数据存储及光开关等领域的应用提供了通用、高效且不损害基质机械性能的解决方案。,"Drug Delivery, Synthetic Polymers, Polyethers",FALSE,该研究聚焦于通过在光致变色染料上共价连接低玻璃化转变温度的柔性寡聚物（如聚二甲基硅氧烷）来提升其在刚性聚合物基质中的开关速度，核心在于改善分子运动性以加速光致变色反应，但负载物为非生物活性物质（光致变色染料），且未涉及微生物或药物递送、环境响应释放等生物医学递送功能。因此不符合【Polymer for Delivery】的核心特征。,Rigid polymer matrix with glass-transition temperature of 120°C,Bulk polymer matrix,"Thermal fade acceleration via molecular lubrication from covalently attached low-Tg oligomers (e.g., PDMS)","Photochromic dyes (spirooxazines, chromenes, azo dye)",Drug,,,,,,Thermal fade (no specific environmental trigger for release; switching driven by heat/light),"Sustained release of coloration state with significantly reduced fade time (T₁/₂ reduced by 40%, T₃/₄ reduced by 60–99%)"
3543399c-a095-47c0-9dfa-30b937dda72a,Pectin as a bioactive polysaccharide - Extracting tailored function from less,本研究综述了果胶（pectin）作为生物活性多糖的结构-功能关系及其在健康与递送系统中的应用。果胶主要由同半乳糖醛酸（HG）区、鼠李半乳糖醛酸I（RGI）和II（RGII）区及中性糖侧链构成，可含蛋白、阿魏酸（ferulic acid）和乙酰基。其结构可通过酶法或化学法修饰，生成用于包埋植物化学物的乳化递送系统，实现结肠靶向释放；电荷修饰果胶可构建基于水凝胶（hydrogel）的递送体系。果胶作为可溶性膳食纤维，具有抗炎、调节肠道菌群（gut microbiome）、改善心血管疾病及代谢健康的作用，其功效与中性糖（如阿拉伯低聚糖）、阿魏酸等组分的体外发酵及结肠代谢物密切相关。研究强调需结合结构域特征（structural domains）与生理功能进行精准表征，以克服现有研究中因来源差异和缺乏理化信息导致的矛盾结果，并揭示果胶与益生元、益生菌等的协同效应。,"Drug Delivery, Natural Polymers, Polysaccharides",TRUE,使用果胶构建水凝胶体系，通过其pH响应特性实现结肠靶向递送，符合聚合物载体的环境响应与可控释放设计核心特征,Pectin,Hydrogel,pH-sensitive degradation (在结肠pH环境下解体),Phytochemicals,Drug,,,,,,pH 7.4 (结肠环境),Sustained release (缓释)
34f2b13e-a04a-481a-935d-7f2296bba969,Macromolecular Prodrugs for Controlled Delivery of Ribavirin,"本研究设计并合成基于聚(N-乙烯基吡咯烷酮)（PVP）和聚丙烯酸（PAA）的宏分子前药（Macromolecular Prodrugs, MPs），用于可控递送核苷类似物利巴韦林（Ribavirin, RBV）。通过共聚物将RBV偶联，实现其靶向递送，显著降低与红细胞（erythrocytes）的结合，从而消除RBV导致溶血性贫血的主要副作用。体外实验表明，MP-RBV在抑制活化巨噬细胞产生一氧化氮（NO）方面与游离RBV疗效相当，且无细胞毒性，而游离RBV显著降低细胞活力。该结果验证了MP-RBV在保持抗病毒疗效的同时大幅改善安全性，推动了抗病毒聚合物治疗的发展，尤其为RBV的精准递送提供了新策略。","Drug Delivery, Synthetic Polymers, Polyamino Acids",TRUE,使用聚(N-乙烯基吡咯烷酮)和聚丙烯酸合成的聚合物作为核苷类似物ribavirin的前药载体，通过调控聚合物结构实现药物控释，减少对红细胞的非特异性结合，从而降低毒副作用，符合聚合物载体的刺激响应与可控释放设计核心特征。,"Poly(N-vinylpyrrolidone), Poly(acrylic acid)",Copolymer (macromolecular prodrug),"pH-sensitive degradation or hydrolysis (implied by controlled release and reduced RBC association, though explicit response mechanism not detailed)",Ribavirin (RBV),Drug,,,,,,Intracellular environment (likely via enzymatic or pH-triggered hydrolysis in target cells),Sustained release (inferred from reduced cytotoxicity and maintained therapeutic efficacy without burst release)
34b3766f-22f4-49f1-9cfe-a5daf0a2879c,Characterization and in vitro assessment of paclitaxel loaded lipid nanoparticles formulated using modified solvent injection technique,本研究旨在开发一种不含Cremophor EL的口服paclitaxel递送系统，采用改进的溶剂注射法构建以硬脂酸为脂质、由卵磷脂/Poloxamer 188混合表面活性剂稳定的paclitaxel负载固态脂质纳米粒（SLNs）。通过透射电子显微镜（TEM）观察，纳米粒呈球形且表面光滑，平均粒径约113 nm，多分散指数窄，zeta电位为-32至-39 mV，表明其具有良好的物理稳定性。包封效率分别为72.18±3.7%（0.05 mmol paclitaxel）和89.0±2.4%（0.25 mmol）。体外释放实验显示paclitaxel呈持续释放，符合Higuchi动力学模型。体外细胞毒性试验表明，SLNs载药系统对肝癌细胞的杀伤力显著高于游离paclitaxel。该方法操作简便、成本低、可重复性强，适用于多种脂溶性抗癌药物的控释递送。,"Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该研究使用固体脂质纳米粒（SLNs）作为载体递送化疗药物紫杉醇，但其核心关注点在于纳米粒的制备工艺（改进的溶剂注入法）和药物包封效率、体外释放行为及细胞毒性，未涉及聚合物的环境响应性设计或可控释放机制（如pH/酶响应、智能释放等），且负载物为化学药物而非活性微生物。因此不符合【Polymer for Delivery】的核心特征。,"Stearic acid (lipid), Lecithin, Poloxamer 188",Solid lipid nanoparticles (SLNs),,Paclitaxel,Drug,,,,,,In vitro release at physiological conditions (no specific trigger mentioned),"Sustained release, following Higuchi kinetic model"
34a089a5-ab2c-4b1f-8f96-02d306cfb752,Poly(lactide-co-glycolide acid)/biphasic calcium phosphate composite coating on a porous scaffold to deliver simvastatin for bone tissue engineering,本研究旨在通过在多孔**BCP/ZrO₂**支架表面涂覆含**simvastatin (SIM)**的**PLGA/BCP**复合涂层（SPB），提升支架的力学性能与生物活性，用于骨组织工程。采用不同比例的**PLGA**与**BCP**（1:2、1:1、2:1）制备复合涂层，结果表明：随着**PLGA**比例增加，支架压缩强度从SPB1-BCP/ZrO₂的8.5±0.52 MPa提升至SPB3-BCP/ZrO₂的11±0.65 MPa，但孔隙率、降解速率及4周内质量损失下降。**SIM**释放呈持续释放，且**PLGA**含量越高，释放速率越低，显著改善体外生物相容性。该策略通过调控**PLGA/BCP**比例实现**SIM**的可控释放，增强支架力学与生物性能，为骨再生提供有前景的递送平台。,"Drug Delivery, Synthetic Polymers, Polyesters",TRUE,使用PLGA/BCP复合涂层构建具有可控释放特性的药物递送系统，通过调节PLGA比例实现对辛伐他汀（SIM）的缓释，符合聚合物设计与环境响应性释放的核心特征,PLGA,Composite coating on porous scaffold,Degradation (PLGA degradation rate controlled by concentration),Simvastatin,Drug,,,,,,Degradation of PLGA matrix in physiological environment,"Sustained release (no burst release reported), with lower release rate observed at higher PLGA concentration"
34358845-db60-4980-bfbe-2a4e3c08901d,A functionalizable reverse thermal gel based on a polyurethane/PEG block copolymer,本研究开发了一种可功能化的反向热致凝胶，基于ABA型嵌段共聚物聚(乙二醇)-聚(丝氨醇己亚甲基脲烷)（ESHU），其中A为亲水性聚乙二醇（PEG），B为疏水性聚(丝氨醇己亚甲基脲烷)，每个重复单元含一个游离伯胺基团。通过GPC、FTIR和¹H NMR表征结构，流变学测试显示其在磷酸盐缓冲液（PBS）中32°C开始相变，37°C时弹性模量达最大。体外降解实验表明该聚合物可水解，胆固醇酯酶（CE）显著加速降解。细胞毒性测试显示其对狒狒平滑肌细胞具有优异生物相容性，细胞活力与组织培养板相当。大鼠皮下植入实验显示早期有轻度炎症反应（ED-1阳性巨噬细胞），4周后基本消退。将六肽IKVAVS通过胺基偶联至ESHU，所得功能化凝胶在体温下快速成胶。该平台为组织工程与再生医学提供了一种可调控细胞-材料相互作用的多功能生物材料。,"Drug Delivery, Synthetic Polymers, Polyethylene Glycol",FALSE,该研究聚焦于开发一种可功能化的反向热响应聚氨酯/PEG嵌段共聚物（ESHU）水凝胶，用于组织工程和药物递送，但未负载任何活性药物或微生物。其核心是聚合物的可修饰性（含胺基）和热响应凝胶行为，而非针对特定负载物的控释或保护机制。因此，尽管具有药物递送潜力，但未涉及负载物的保护、释放控制或微生物活性等关键特征，不符合【Polymer for Delivery】的核心判据。,Poly(ethylene glycol)-poly(serinol hexamethylene urethane) (ESHU),Reverse thermal gel,Temperature-responsive phase transition (gelation at 37°C),,,,,,,,Body temperature (37°C),Rapid gelation at 37°C; hydrolytic degradation in PBS and accelerated by cholesterol esterase
340cbb47-7cb4-408a-a339-2c8e0939568c,Synthesis and cellular compatibility of multi-block biodegradable poly(ε-caprolactone)-based polyurethanes,"本研究系统合成61种基于聚(ε-己内酯)（PCL）-二醇（Mw = 850, 3050, 3700, 7000 Da）的多嵌段生物可降解聚氨酯（PU），通过与异氰酸酯（MDI、PDI、HMDI、TDI）及链扩展剂（1,4-丁二醇BD或乙二醇EG）在无溶剂条件下反应制得。研究考察了PCL-二醇分子量与异氰酸酯类型对材料结晶性的影响：当PCL-二醇Mw = 850时，与MDI、TDI或HMDI反应的样品无结晶，而与PDI反应并使用BD或EG链扩展的样品则出现明显结晶峰。X射线与热分析表明，结晶性主要由PCL链长及硬段结构决定。水解降解实验显示，非晶态PU降解速率高于半结晶型。通过微阵列高通量技术与体外细胞培养评估所有57种共聚物的细胞相容性，结果表明所有样品均支持细胞黏附与增殖，证实其良好的生物相容性。研究揭示了PCL链长与硬段结构对PU结晶性、降解性及细胞相容性的调控机制。","Drug Delivery, Synthetic Polymers, Polyesters",FALSE,该研究聚焦于合成一系列基于聚己内酯（PCL）的多嵌段生物可降解聚氨酯，并系统研究其热性能、结晶性、降解行为及细胞相容性，但未涉及任何负载物（如药物或微生物）的递送、保护或可控释放。聚合物本身是作为材料本身被研究，而非作为递送载体使用。,Poly(3-caprolactone)-based polyurethane,Multi-block copolymer,Hydrolytic degradation (controlled by crystallinity),,,,,,,,,
340510cc-f588-4dd0-b742-e384079003da,Development and characterization of solid dispersion-microsphere controlled release system for poorly water-soluble drug,本研究旨在通过固态分散体与微球的复合系统，提升难溶性药物**Flurbiprofen (FBP)** 的溶出度并实现长效释放。采用**熔融法**制备**FBP-尿素 (1:2)** 固态分散体，以**尿素**和**甘露醇**为亲水载体；通过**溶剂蒸发法**制备微球，使用**Eudragit L-100 (EL100)** 和 **Eudragit RS PO (ERS)** 作为控释聚合物，优化得**FBP-EL100-ERS (1:0.25:0.75)** 微球。将两者按不同比例混合，形成缓释制剂。**SEM** 显示微球呈球形，粒径为 73.5–85.4 μm。体外释放结果显示，固态分散体:微球 = 1:0.5 的配方可实现长达 10 h 的持续释放，释放动力学符合零级释放，机制为扩散控制。体内抗炎实验表明，该配方在大鼠足爪水肿模型中抑制效果持续达 16 h，显著优于普通制剂。研究证实，该**固态分散体-微球二元复合系统**可有效改善 FBP 的溶出与释放行为，适用于胃部低 pH 溶解差、肠道 pH 快速释放的难溶药物。,"Drug Delivery, Synthetic Polymers, Polyesters",TRUE,采用固态分散体与微球的双系统组合，利用Eudragit L-100和Eudragit RS PO的pH响应特性实现药物在肠道的控释，符合聚合物设计与环境响应的核心特征,"Eudragit L-100, Eudragit RS PO",Microspheres,pH敏感的溶胀与降解（在胃酸pH下稳定，在肠液pH 7.4下释放）,Flurbiprofen (FBP),Drug,,,,,,pH 7.4（模拟肠液）,零级释放动力学，持续释放长达10小时，为扩散控制型释放
33e73141-320f-422c-b7a1-e9a03beac4da,"Augmentation of anti-tumour activity of cisplatin by pectin nano-conjugates in B-16 mouse model: pharmacokinetics and in-vivo biodistribution of radio-labelled, hydrophilic nano-conjugates",本研究旨在通过构建**pectin-cisplatin nano-conjugates**，提升顺铂（cisplatin）的抗肿瘤活性并改善其药代动力学与体内分布。采用**DLS、zeta电位和TEM**进行物理表征，证实纳米复合物形成。利用**99mTc标记**的纳米复合物在正常及B16F10荷瘤C57Bl6小鼠中开展药代动力学与生物分布研究，结合**γ闪烁成像**分析。结果表明，纳米复合物显著延长顺铂血浆滞留时间，半衰期达**11.26 h**，并减少在肾脏的积累，提示潜在降低**肾毒性**。体外MTT实验显示，**pectin-cisplatin**联合治疗对B16F10细胞增殖抑制效果优于单药。体内实验采用B16F10皮下移植瘤模型，通过监测**肿瘤负荷**评估抗肿瘤效果，结果显示联合治疗显著抑制肿瘤生长，证实**pectin-cisplatin nano-conjugates**可增强顺铂疗效，兼具靶向递送与减毒潜力。,"Drug Delivery, Natural Polymers, Polysaccharides",TRUE,使用果胶-顺铂自折叠纳米共轭物作为聚合物载体，通过延长顺铂在血液中的循环时间、改变其体内分布并减少肾毒性，体现了聚合物的控释设计与环境响应特性（如延长半衰期、靶向肿瘤），符合聚合物递送系统的核心特征。,Pectin,Nano-conjugate (self-folding nano-conjugates),Prolonged plasma residence and altered biodistribution (implied by sustained release and reduced renal accumulation),Cisplatin,Drug,,,,,,"In vivo environment (e.g., tumor microenvironment or physiological conditions leading to sustained release)",Sustained release (evidenced by prolonged plasma residence time and increased t1/2 ~11.26 h)
33dcec03-0a65-4827-a2c6-7e94511251ee,Facile preparation of degradable thermoresponsive polymers as biomaterials: Thermoresponsive polymers prepared by radical polymerization degrade to water-soluble oligomers,"本研究通过自由基共聚法，以2-亚甲基-1,3-二氧庚烷（MDO，疏水单体）与2-羟乙基丙烯酸酯（HEA，亲水单体）在二甲基亚砜（DMSO）中聚合，制备了可降解的热响应性共聚物poly(MDO-co-HEA)。该聚合物在水相中表现出下临界溶解温度（LCST）型相分离，高于LCST时形成可负载低分子量疏水药物的凝聚液滴。LCST可通过MDO/HEA摩尔比、离子强度及聚合物浓度调控。降解实验表明，聚合物主链酯键水解后生成水溶性低聚物，避免了疏水性降解产物的聚集风险。该方法简便，所得poly(MDO-co-HEA)兼具热响应性与生物可降解性，适用于药物递送载体、细胞培养支架等功能性生物材料，替代传统不可降解刺激响应型聚合物。","Drug Delivery, Synthetic Polymers, Polyesters",FALSE,该研究聚焦于合成一种可降解的热响应聚合物poly(MDO-co-HEA)，其主要功能为通过温度响应形成共沉淀液滴以负载小分子药物，但未涉及任何活性负载物（如微生物或生物大分子）的递送，也未展示针对特定生物环境（如肠道pH或酶）的响应性释放行为。尽管具有刺激响应性和可降解性，但其应用仅限于材料基础研究，未体现对药物或微生物的可控释放设计，因此不符合【Polymer for Delivery】的核心特征。,poly(MDO-co-HEA),Coacervate droplets (液-液相分离形成的微滴),Thermoresponsive phase separation (LCST-type) above critical temperature,,,,,,,,Temperature above LCST (thermoresponsive phase separation),Burst release (due to rapid phase separation and encapsulation of hydrophobic molecules)
328efdf4-6264-4db1-89a2-3bdeb141445d,"Bioengineering functional copolymers:: synthesis and characterization of poly(N-isopropyl acrylamide-co-3,4-2H-dihydropyran)s","本研究通过自由基共聚法，以N-异丙基丙烯酰胺（NIPA）与3,4-二氢-2H-吡喃（DHP）为单体，偶氮二异丁腈（AIBN）为引发剂，在丙酮中70 °C、氮气保护下合成了一系列新型生物工程功能共聚物poly(NIPA-co-DHP)s。通过FTIR、¹H{¹³C} NMR DEPT及元素分析确认其结构、立构规整性与组成。采用Kelen-Tüdös与Jaacks法测定单体竞聚率：r₁(NIPA) = 1.25，r₂(DHP) = 0.035（Kelen-Tüdös）；r₁(NIPA) = 0.97，r₂(DHP) = 0.022（Jaacks），表明DHP具有极低的自聚倾向，共聚具有高度交替趋势。氢键作用（-NH⋯O<）在酰胺与醚基团间形成，促进立体选择性链增长并显著抑制烯丙基降解链转移，导致产物分子量较高（Mₙ）。所得水溶性刺激响应型共聚物具有热稳定性、高玻璃化转变温度（Tg）、聚电解质特性及pH/温度双重响应行为，属于具有生物工程应用潜力的功能材料，适用于基因工程、药物递送及抗肿瘤等领域。","Drug Delivery, Synthetic Polymers, Polyamino Acids",FALSE,该研究聚焦于新型共聚物的合成与表征，未涉及任何负载物（如药物或微生物）的递送系统设计，也未描述聚合物载体在特定环境下的响应性释放行为。尽管该共聚物具有温度和pH响应性，但未用于实际递送应用，且无任何关于负载物保护、释放动力学或靶向递送的实验数据。,"Poly(N-isopropyl acrylamide-co-3,4-2H-dihydropyran)",,"Thermal, pH- and temperature-sensitive behavior",,,,,,,,,
3340c34f-07b8-4cb0-96c2-be46f1cf3ae2,Effect of polydiacetylene-based nanosomes on cell viability and endocytosis,"本研究制备了聚二乙炔（Polydiacetylene, PDA）基纳米体（nanosomes），通过静电作用复合罗丹明（rhodamine）荧光标记物，系统评估其对细胞活力的影响及内吞机制。采用实时细胞成像与MTT法检测细胞毒性，结果表明高度聚合的PDA纳米体毒性较低。共聚焦显微镜显示，细胞环境中rhodamine/PDA纳米体复合物解离，PDA纳米体成功进入细胞。研究揭示了PDA纳米体的低毒性和高效内吞特性，证实其作为生物载体在药物递送与成像中的潜力，为PDA基纳米载体的生物相容性与细胞摄取机制提供了实验依据。","Drug Delivery, Synthetic Polymers, Polyethers",FALSE,该研究聚焦于聚二乙炔（PDA）基纳米体（nanosomes）的细胞毒性与内吞行为，负载物为荧光染料（rhodamine），并非活性微生物或药物递送系统；其核心在于纳米载体的光学响应与细胞相互作用机制，而非聚合物的环境响应性控释设计或对负载物的保护作用，因此不符合【Polymer for Delivery】的核心特征。,Polydiacetylene (PDA),Nanosomes (nanoliposomes),Electrostatic complexation with rhodamine; optical transition (blue-to-red) in response to cellular environment,Rhodamine fluorophore,Drug,,,,,,Cellular environment (induces dissociation of rhodamine/PDA complex),Dissociation observed in cell environment; PDA nanosome penetrates into cells (suggestive of triggered release)
3326e249-32a5-45c7-ba65-8eec1460968e,Biocompatibility of Biomaterials for Nanoencapsulation: Current Approaches,本综述系统探讨了用于纳米包封的生物材料的生物相容性，重点分析了**纳米球、脂质体、胶束、纳米晶体、固体脂质纳米粒（SLNs）和纳米结构脂质载体（NLCs）**等纳米载体的构建材料及其生物安全性。研究涵盖**聚合物（如PLGA、壳聚糖）、表面活性剂（如Tween 80、磷脂）、电荷诱导剂（如柠檬酸钠）及靶向配体（如叶酸、RGD肽）**等关键材料。通过评估其**血液相容性（haemocompatibility）、组织相容性（histocompatibility）、细胞毒性（cytotoxicity）、基因毒性（genotoxicity）及致癌性**，全面评价不同材料在纳米包封中的适用性与安全性。研究旨在为智能药物递送系统中生物材料的优选提供科学依据，以实现高效、安全的靶向递药。,"Drug Delivery, Natural Polymers, Polysaccharides",FALSE,该综述论文主要讨论纳米封装中生物材料的生物相容性，涵盖脂质体、纳米球、纳米晶等载体类型，但未涉及任何具体的聚合物设计、环境响应机制或可控释放行为。论文未聚焦于特定聚合物载体的刺激响应性、控释设计或微生物保护功能，也未提供任何关于负载物（如活性微生物）在递送过程中的活性、保护性或释放行为的实验数据。因此，不符合【Polymer for Delivery】的核心特征。,,,,,,,,,,,,
